file_name,english,banjara,notes
eek_bhayanak_cholera_mahaamaaree_aayithi.wav,"A devastating cholera epidemic struck.","eek bhayanak cholera mahaamaaree aayithi","eek-one, bhayanak-devastating /scary, cholera-cholera, mahaamaaree-epidemic, aayithi-came"
sarkaareevur_dastaveezurmai_bhi_vu_jaageer_naam_lakhmeleche.wav,"Official government records support this location.","sarkaareevur dastaveezurmai bhi vu jaageer naam lakhmeleche.","sarkaareevur-in government, dastaveezurmai-inside documents, bhi-also, vu-that, jaageer-place,  naam-name, lakhmeleche-is written."
baar_ghano_paani_padro_che.wav,"It is raining heavily outside.","baar ghano paani padro che.","baar=outside, ghano=very, paani padro=raining"
peenavur_mandu_thi_maauth_thamri_koni_vetti.wav,"Traditional healers could not stop the deaths.","peenavur mandu thi maauth thamri koni vetti","peenaro-traditional, peenavur-Traditional, mandu-medicines, thi-with, maauth-death, thamri-stopping, koni-not, vetti-happening"
rail_gaadi_aayen_deer_veejavche.wav,"The train is late.","rail gaadi aayen deer veejavche","rail gaadi - train,  aayen-to come, deer-late, veejavche-will be/ will happen"
eer_bhaav_chanik_kamm_kar.wav,"Reduce the price a little.","eer bhaav chanik kamm kar","eer-its, bhaav-price, chanik-litte, kamm kar-reduce"
eer_bhaav_ghano_jaada_che.wav,"The price is too high.","eer bhaav ghano jaada che","eer-its, bhaav-price, ghano-very, jaada-more/high"
dada_ro_naam_ramji_naik_rathod.wav,"Grandfather: Ramji Naik Rathod.","Dada ro naam","Ramji Naik Rathod,Dada ro-grandfather's, naam-name, Ramji Naik Rathod- Ramji Naik Rathod"
me_bhulgo.wav,"I forgot.","Me bhulgo","Me-I, bhulgo-forgot"
aaper_samajeen_daabnaake.wav,"Our community became refugees.","aaper samajeen daabnaake","aapner-our, samaj-community, aaper-our, samajeen-community, daabnaake-opressed"
aath_bees.wav,"Sit here.","aath bees","aath-here, bees-sit"
vuu_apner_guru_er_nai_vego.wav,"He became Guru to our people.","Vuu apner guru er nai vego.","Vuu-he/that person, apner-our, guru  er- teacher/guru, nai-like, vego-became"
vu_maati_kuun_che.wav,"Who is that man?","Vu maati kuun che?","Vu-that, maati-man, kuun-who"
ghar_saaf_kar.wav,"Clean the house.","Ghar saaf kar","Ghar-house, saaf-clean, kar-do"
line_aa_hubar.wav,"Stand in the line.","line aa hubar","line aa - in line, hubar-stand"
tu_kai_kaam_karrochi.wav,"Where do you work?","Tu kai kaam karrochi?","Tu=you, kai=what, kaam=work, karrochi=doing"
jhaaduvun_paani_ghaal.wav,"Water the plants.","jhaaduvun paani ghaal","jhaaduvun-to plants/ to trees, paani-water, ghaal-put/serve"
abbe_paanch_bajre_che.wav,"It is 5 o'clock.","abbe paanch bajre che","abbe-now, paanch-five, bajre che- happening"
janna_sant_sevalal_maharaj_aayo.wav,"Then Sant Sevalal Maharaj arrived.","Janna Sant Sevalal Maharaj aayo.","tho-then, Janna-then, Sant Sevalal Maharaj-Sant Sevalal Maharaj, aayo-came."
darreethi_saari_sheer_sheelkhal_veegithi.wav,"Fear paralyzed the city.","darreethi saari sheer sheelkhal veegithi","darreethi-with fear, saari-all/complete, sheer-city, sheelkhal-frozen/cold, veegithi-happened"
rajasthan_eer_mewar.wav,"The Mewar region of Rajasthan.","Rajasthan eer Mewar","Rajasthan eer - of rajastha, Mewar-mewar"
janna_deevire_anugrah_eethi_dhud_asli_sheera_re_nai_badalgo.wav,"Then","by divine grace","the mud transformed into real sheera.,janna, deevire anugrah eethi, dhud asli sheera re nai badalgo,janna-the, deevire-of goddess, anugrah-grace, eethi-with, dhud-mud, asli-real, sheera re-of sheera(sweet), nai-like, badalgo-transformed/changed"
jaldi_chaal.wav,"Walk fast.","jaldi chaal","jaldi-fast, chaal-walk"
huyo_janna_seva_bhaya_ajji_shiv_rathod_ken_bhi_naam_paad_melech.wav,"Birth name: Seva Bhaya","also known as Shiv Rathod.","huyo janna seva bhaya, ajji shiv rathod ken bhi naam paad melech,huyo-birth/born, janna-then, seva bhaya-seva bhaya, ajji-and, shiv rathod-ajji  rathod, ken-said/meant, bhi-also, naam-name, paad melech - named/given name/lifted"
pandre_february_satre_soo_thees_an_nav_kajakon_daado_eek_mooto_nayak_eer_daadoor_ken_harde_rejjavche.wav,"15 February 1739 marks the birth of our greatest reformer.","pandre february satre soo thees an nav kajakon daado eek mooto nayak eer daadoor ken harde rejjavche","pandre-fifteen, february-february, satre-seventeen, soo-hundred, thees-thirty, an-and, nav-nine, kajakon-said so, daado-date/day, eek-one, mooto-big/great, nayak-leader, eer-of, daadoor-day, keen-like/mean, harde-remembered, rejjavche-stay/stays."
apner_baap_dadvur_jaag.wav,"Our ancestral homeland.","apner baap dadvur jaag.","apner-our, baap-father dada vur- father's, grandfathers's, jaag-place/lang."
maaro_peetemai_dookroche.wav,"My stomach is aching.","Maaro peetemai dookroche","Maaro=my, peetemai-inside stomach, dookroche-aching"
tho_haatherma_dhud_an_gahu_leedho.wav,"So he took mud and wheat.","tho haatherma dhud an gahu leedho","tho-then, haatherma-in hands, dhud-mud, an-and, gahu-wheat, leedho-took"
keval_jhaad_bhootivur_gyaan_ekkaz_vetthi.wav,"Only his profound knowledge of Ayurveda and Naturopathy.","keval jhaad bhootivur gyaan ekkaz vetthi","vor-his, eevur-of, anne-and, keval-only, jhaad vur -plant's/tree's, bhooti vur-roots, gyaan-knowledge, ekkaz-only one, vetthi-was there"
jannaz_sevalal_eer_maithi_chamatkar_baar_padi.wav,"Until the miracle that would establish his divinity.","jannaz sevalal eer maithi chamatkar baar padi","jannaz-then only, sevalal-sevalal, eer-of, maaithi-from inside , ek-one, chamatkar-miracle, baar padi-was found/came out"
ee_maaro_sagaashan_che.wav,"He is my relative.","ee maaro sagaashan che","ee-he, maaro-my, sagaashan-relative"
mewar_kshetr.wav,"Mewar region.","Mewar kshetr","Mewar-mewar, kshetr-region"
ghao_jakon_asli_puri_re_nai_badalgo.wav,"The wheat into real puri.","ghao jakon asli puri re nai badalgo","ghao-wheat, jakon-that is/ therefore, asli-real, puri re-of puri(indian bread), nai-like, badalgo-changed/transformed."
apeer_peena_vur_khetari_charayer_jammi_shee_kheench_lide.wav,"Our traditional grazing lands were restricted.","apeer peena vur khetari","charayer jammi shee kheench lide,aapner-our, peenaro-traditional, apeer-our, peena vur-traditional, khetari-fields'farms, charayer-graising, jammi-lands, shee-all, kheench lide - took away/ restricted"
bharath_eer_advicha_thi.wav,"Through Central India.","bharath eer advicha thi","bharath eer-india's advicha-center/middle, thi-from"
mee_kaal_raath_deereethi_suutho_tho.wav,"I slept late last night.","mee kaal raath deereethi suutho tho","mee-i, kaal-yesterday, raath-night, deereethi - late/ with late, suutho tho - had slept"
maai_aa.wav,"Come inside.","maai aa","maai-inside, aa-come"
ee_chamatkar_eethi_vor_mai_deever_nai_che_jako_svabhaav_baar_padi.wav,"This miracle established his divine nature.","ee chamatkar eethi vor mai deever nai che jako svabhaav baar padi","ee-this, chamatkar-miracle, eethi-with, vor-hi,s mai-inside, deever nai-godly/ like god/divine, che jako-being/is there, svabhaav-nature, baar-out, padi-fell"
chal_abbej_jaama.wav,"Let's go now.","chal","abbej jaama"",""chal-walk, abbej-now, jaama-go"
sant_sevalal_maharaj.wav,"Sant Sevalal Maharaj.","Sant Sevalal Maharaj.","Sant Sevalal Maharaj"
ee_aapnevur_peedivur_samman_che.wav,"This is our ancestral heritage.","ee aapnevur peedivur samman che","ee-this, aapnevur-ours, peedivur-generational/ancestral, samman che- respect/ heritage"
tameen_von_maharaj_ken_kashen_kach_ko_maalam_che_ge.wav,"Do you know why he is called Maharaj?","tameen von Maharaj ken kashen kach ko maalam che ge?","tameen-to you, von-he/him, Maharaj-maharaj, ken-as, kashen-why, kach-say, ko-so, maalam-know, che ge-is there/have"
mann_sabji_leer_che.wav,"I want to buy vegetables.","mann sabji leer che","mann-i, sabji-vegetables, leer che- want to take"
mann_aant_aai_koni.wav,"I did not hear you.","mann aant aai koni","mann-me, aant-hear, aai koni - cant / did not"
hyderabad_nizam_eer_heet_vetthi.wav,"Hyderabad city under Nizam rule.","Hyderabad Nizam eer heet vetthi","Hyderabad-Hyderabad , Nizam eer-Nizam's, heet-under, vetthi-was there"
apner_kunta_talav_khalya_vavdi_vun_bhi_japth_kidhe.wav,"Our water sources were controlled.","apner kunta","talav, khalya, vavdi vun bhi japth kidhe,aapner-our, paani-water, apner-our, kunta-lake, talav-pond, khalya-canal/stream, vavdi-well,  vun bhi- also, japth-controlled, kidhe-did"
jagadamba_deevi_reej_aashirvaad_che_keen.wav,"Blessed by Goddess Jagadamba herself.","Jagadamba deevi reej aashirvaad che keen","Jagadamba deevi-Jagadamba deevi, reej-only of, aashirvaad-blessing, che keen- is there"
undaadeethi_vo_se_deeveer_nai_dheken_lagpade.wav,"From that day forward","he was recognized as spiritually awakened.","undaadeethi,  vo se deeveer nai dheken lagpade.,undaadeethi-from that day,  vo se-all of them, deeveer-of god/divine, nai-like, dheken-seen/saw/seeing, lagpade-happened,happening"
deer_math_kar.wav,"Don't be late.","deer math kar","deer-late, math-dont, kar-do"
ee_sabji_taaja_che.wav,"This vegetable is fresh.","ee sabji taaja che","ee-this, sabji-vegetable, taaja-fresh, che-is"
me_savar_taanden_jaayevalo_chu.wav,"I am going to the village tomorrow.","me savar taanden jaayevalo chu","me=I, savar=tomorrow, taanden=to village, jaayevalo chu = will be going"
seva_an_bhakthi_thi_banchmelo_jakon_saada_zindagi.wav,"A simple life of service and devotion.","seva an bhakthi thi banchmelo jakon saada zindagi","seva-service, an-and, bhakthi-devotion, thi-with, banchmelo jakon-living,  saada-simple, zindagi-life"
apan_rajput_sena_vur_saaman_punchadeen_mooreer_hadkar_nai_vette.wav,"We were the logistics backbone of Rajput armies.","apan rajput sena vur saaman punchadeen mooreer hadkar nai vette","hum-we, eevur-of, apan-we, rajput sena vur -rajput army's, saaman-logistics/goods, punchadeen-to reach/available, mooreer hadkar - backbone, nai-like, vette-were there."
darvajeer_taala_ghal.wav,"Lock the door.","darvajeer taala ghal","darvajeer-of door, taala-lock, ghal-put"
aapner_samajeer_vasu_vu_kaai_keedoch_ko_maalam_che_ge.wav,"Do you know what he did for our community?","Aapner samajeer vasu vu kaai keedoch ko maalam che ge?","Aapner-our, samajeer-society/community, vasu-for, vu-him/he, kaai-what, keedoch ko-did, maalam-know, che ge-there/have"
apan_maha_rana_pratap_een_seva_karmele_jakon_vansaj_cha.wav,"We are descendants of those who served Rana Pratap.","apan Maha Rana Pratap een seva karmele jakon vansaj cha","apan-we, Maha Rana Pratap een-Maha Rana Pratap's,  seva-serve, karmele jakon - did so, vansaj cha - decendants/family people, lineage"
eek_hisaabeethi_cholera_thi_beemar_chejeen_davaa_deeno.wav,"He began treating cholera patients systematically.","eek hisaabeethi cholera thi beemar chejeen davaa deeno","ee-he, eek-one, hisaabeethi-calculation/systematically, cholera thi-with cholera, beemar-diseased, chejeen-who have, davaa-medicine, deeno-gave"
khitkier_kann_bees.wav,"Sit near the window.","khitkier kann bees","khitkier-window, kann-near, bees-sit"
apnuune_kor_kyar_samaj_eethi_duur_karan_deete.wav,"We were classified as outside the social hierarchy.","apnuune kor kyar samaj eethi duur karan deete.","hum-we, baar-outside, apnuune-to us, kor kyar- other than gor community, samaj-community, eethi-with, duur-far/away, karan-did, deete-saw/seen"
daliya_chey.wav,"No food.","daliya chey","daliya-food, chey-no/not there"
keeni_maar_kaatecha_keen_koni_apan_adivasi_cha_kethanin.wav,"Not for crimes committed","but simply for being nomadic.","keeni maar kaatecha keen koni, apan adivasi cha kethanin,aapner-our, keeni-any, maar kaatecha-beating or cutting, keen-meant, koni-no, apan-we, adivasi-tribes/nomadic, cha-were, kethanin-said so"
tu_kai_ko.wav,"What did you say?","Tu kai ko?","Tu-you, kai-what, ko-say"
nankya_vetto_janna_sirsigad_eer_kann_sevalal_gaavdi_chratho_tho.wav,"As a child","he herded cattle near Sirsigad.","nankya vetto janna, sirsigad eer kann sevalal gaavdi chratho tho,nankya-child/kid, vetto-was, janna-then, sirsigad-sirsigad, eer kann-near, sevalal -sevalal, gaavdi-cows/cattle, chratho tho - grase/grasing"
mann_bookh_lagrich.wav,"I am hungry.","Mann bookh lagrich.","Mann-i, bookh-hungry, lagrich-feeling"
tu_kanna_bandh_karechi.wav,"When will you close?","Tu kanna bandh karechi?","Tu-you, kanna-when, bandh-close, karechi-will you do"
karib_karib_de_hazaar_eethi_theen_hazar_mankya_vetthe.wav,"Approximately 2","000 to 3","000 people.,karib karib de hazaar eethi theen hazar mankya vetthe.,een-to, mannkya-people, karib karib-near by/approximately,  de-two, hazaar-thousand, eethi-to, theen- hazar mankya-people, vetthe-were there."
madhya_pradesh_eer_malwa_mai_thi.wav,"Through Malwa in Madhya Pradesh.","madhya pradesh eer malwa mai thi","madhya pradesh eer-madhya pradesh's, malwa-malwa, mai thi-from inside/from it."
khayen_ghaal.wav,"Serve the food.","Khayen ghaal","Khayen-to eat, ghaal-serve/put"
panan_aaj_aapan_voor_itihaaser_maieer_puuro_kahani_ne_dhekevaal_cha.wav,"But today","we present the complete","documented history."",""Panan aaj, aapan voor itihaaser maieer puuro kahani ne dhekevaal cha"",""Panan-but aaj-today, aapan-we, voor-his, itihaaser-of history, maieer-inside of, puuro-complete/total/all, kahani ne-story/documentry, dhekevaal cha-going to watch/present"
voone_vu_devi_ne_kai_thoi_chadavnu_ken_lago.wav,"He wished to offer her something.","voone","vu devi ne kai thoi chadavnu ken lago,voone-him, vu-that, devi ne-to godesses, kai thoi-something, chadavnu-offer/give, ken lago- felt so"
dusar_jaatheevur_kann_goreevur_izzat_gamgi.wav,"The caste system denied us dignity.","dusar jaatheevur kann goreevur izzat gamgi","apnen-us, izzat-dignity, dusar-other, jaatheevu-cast's/clan's, kann-near, goreevur-gor's, izzat-dignity, gamgi-lost"
niraashema_hoto_aasha_jagayo.wav,"Into this despair","he brought hope.","niraashema hoto aasha jagayo,ee-this, ee-he, niraashema-in dispair, hoto-back, aasha-hope, jagayo-woke/raised"
apan_shee_pena_jaag_jaag_pharthaneen_vyapaar_ekkaaj_koni_karmele.wav,"Our ancestors were not merely traders.","apan shee pena jaag jaag pharthaneen vyapaar ekkaaj koni karmele","aapner-our, apan-we, shee-all, pena-ancient/old days, jaag jaag-place to place, pharthaneen-roaming around, vyapaar-business/trading, ekkaaj-only one, koni-not, karmele-have done"
jai_sant_sevalal_maharaj.wav,"Jai Sant Sevalal Maharaj.","Jai Sant Sevalal Maharaj.","Jai-hail, Sant Sevalal Maharaj"
ee_aapner_ithaazer_mai_eek_heerar_naai.wav,"This is our heritage.","ee aapner ithaazer mai eek heerar naai","ee-this, aapner-our, ithaazer mai- in history, eek-one, heerar-daimond, naai-like"
ee_aapner_satguruer_puuro_parikshan_karan_malam_kide_jakon_itihaas_che.wav,"This is the complete","verified history of our Satguru.","ee aapner satguruer, puuro parikshan karan malam kide jakon itihaas che,ee-this, aapner-our, satguru er-sathguru's, puuro-complet/full, parikshan-tested/verified, karan-did, malam-know, kide jakon-did, itihaas - history, che-is/there"
vu_apner_samaajeene_chittorgarh_eer_rajput_yoddhavur_jaatheema_bhelech.wav,"It connects our community to the Rajput warrior clans of Chittorgarh.","Vu apner samaajeene","chittorgarh eer rajput yoddhavur jaatheema bhelech,Vu-that, apner-our, samaajeen-community, chittorgarh-chittorgarh, eer-of/from, rajput yoddhavur -rajput warriors, jaatheema-in clan, bhelech-mixes/adds to"
yaadi_eer_naam_dharmani_yaadi_katti_katti_dharmani_mata_ken_bhi_kache.wav,"Mother: Dharamani Yaadi","also revered as Dharmani Mata.","Yaadi eer naam, Dharmani Yaadi, katti katti dharmani mata ken bhi kache,Yaadi-mother, eer-of, naam-name, Dharmani Yaadi-Dharmani Yaadi, katti katti - some some, dharmani mata -dharmani mata, ken bhi - also, kache-said."
apan_gor_samaj_voor_vaate_saamlen_lagpade.wav,"The community began to follow his guidance.","apan gor samaj voor vaate saamlen lagpade","apan-our, gor -gor/lambada/banjara, samaj-community, voor-his, vaate-words, saamlen-listening, lagpade-started"
ee_maar_padoosan_che.wav,"She is my neighbor.","ee maar padoosan che","ee-she, maar-my, padoosan che = neighbour"
katra_duur_che_vu.wav,"How far is it?","katra duur che vu?","katra-how, duur-far, che vu- is it"
katth_huyoch_kajako_motto_vaath_koni.wav,"What matters most is not WHERE he was born.","Katth huyoch kajako motto vaath koni","Katth-where, huyoch-born, kajako-is said, motto-big, vaath-word/line, koni-not"
voor_bhakthi_thi_dhud_eethi_sheera_banayo.wav,"With pure devotion","he prepared sheera from mud.","voor bhakthi thi, dhud eethi sheera banayo,voor-his, bhakthi-devotion, thi-with, dhud-mudd, eethi-with, sheera-sheera/sweet, banayo-prepared,cooked,made"
apnen_vu_bhagvan_che_kethanin_maalam.wav,"We know he was divine.","apnen vu bhagvan che kethanin maalam.","apnen-we/us, vu-he/him, bhagvan-givine/god/godly, che, kethanin-said so, maalam-know."
vuz_aapner_samajeen_sudharooch_ken_bhi_maalam.wav,"We know he reformed our community.","Vuz aapner samajeen sudharooch ken bhi maalam","Vuz-he, aapner-our, samajeen-community/society, sudharooch-reformed/made it right/arranged, ken-that, bhi-also, maalam-know"
vu_puuro_samaj_navvo_jaag_een_dhoondeen_lagpade.wav,"An entire community searching for a new homeland.","Vu puuro samaj","navvo jaag een dhoondeen lagpade,samaj-community, Vu-hat, puuro-complete, samaj-community, navvo-new. jaag een-place,  dhoondeen-searching, lagpade-started/doing."
chal_dukaanen_jaama.wav,"Let's go to the market.","chal","dukaanen jaama"",""chal-lets go, dukaanen-market, jaama-go"
hum_saaterma_kush_cha.wav,"We are happy together.","hum saaterma kush cha","hum-we, saaterma-together, kush cha-are happy"
ee_jhiglare_kai_bhaav_che.wav,"How much for this shirt?","ee jhiglare kai bhaav che?","ee=this, jhiglare=shirt's, kai=what, bhaav=cost"
kunshi_mandur_padai_atithi_koni.wav,"With no formal medical degree.","kunshi mandur padai atithi koni","math-no, kunshi-any, mandur-medicinal, padai-education, atithi-knowing/coming, koni-no"
ass_bhaveturmaa_sant_sevalal_maharaj_roshni_laayo.wav,"Into this darkness","Sant Sevalal Maharaj brought light.","ass bhaveturmaa, Sant Sevalal Maharaj roshni laayo,ee-this, ass bhaveturmaa-in this problems/in this struggles, Sant Sevalal Maharaj-Sant Sevalal Maharaj, roshni-light, laayo-brought"
satre_soo_eer_anth_eer_ma.wav,"Late 1700s.","satre soo eer anth eer ma","deer-late, satre-17, soo eer-hundred's,  anth eer-end,  ma-in"
varsuthi_gor_maativur_gaanavu_ma_reegiech.wav,"Recited by Lambadi bards for centuries.","varsuthi gor maativur gaanavu ma reegiech","varsuthi-from years, gor maativur - gor mati/ lanjara/ lambada,  gaanavu-songs, ma-in, reegiech-stayed"
tam_baap_dadavur_kan_vor_kahani_samlez_viyo.wav,"You have heard stories from your grandparents.","tam baap dadavur kan vor kahani samlez viyo","tam-you, baap dadavur-grandparents, kan-near/with, vor-his, kahani-story, samlez-listen, viyo-might/may be"
me_attra_bhanduni.wav,"I will not pay this much.","me attra bhanduni.","me-i, attra-this much, bhanduni-will not pay"
aajer_daaderma_telangana_ma_che.wav,"In present-day Telangana.","aajer daaderma telangana ma che","aajer-today's, daaderma-in day, telangana-telangane, ma che - is in"
kaai_chadayenez_vetti_koni.wav,"No material offerings.","kaai chadayenez vetti koni","kaai-what, chadayenez-to offer, vetti-there, koni-not."
panan_apner_ma_shenduvun_kahanier_tukdaz_malam_che.wav,"But many of us know only fragments of his story.","panan","apner ma shenduvun kahanier tukdaz malam che"",""panan-but, apner ma-within us, shenduvun-all of us, kahanier-of story, tukdaz-pieces/fragments, malam che-know"
fanen_bandh_kar.wav,"Turn off the fan.","fanen bandh kar.","fanen-to fan, bandh-turn off, kar-do."
maar_vasu_tham.wav,"Wait for me.","maar vasu tham","maar vasu - for me, tham-wait"
mann_hardeche.wav,"I remember.","Mann hardeche","Mann-I, hardeche-remember"
nizameer_kan_chikitsa_karevaal_bhi_haath_paad_nake.wav,"The Nizam's royal physicians were helpless.","Nizameer kan chikitsa karevaal bhi haath paad nake","Nizameer-nizam's, kan-near, chikitsa-doctors,physicians, karevaal-doers, bhi-also, haath-hands, paad-rised/lift, nake-did"
ticket_leale.wav,"Take a ticket.","Ticket leale","Ticket-ticket, leale-take"
voor_pachhe_britisheevur_aathanin_goruuv_shee_criminal_tribes_kethanin_naam_paade.wav,"Nomadic communities were labeled Criminal Tribes by the British.","Voor pachhe","britisheevur aathanin, goruuv shee Criminal Tribes kethanin naam paade,panan-but, Voor pachhe-after that, britisheevur-britisher's, aathanin-came and,, goruuv shee -all Gor,Criminal-aparadhi, Tribes-aadivasi, kethanin-said so, naam paade- name was labeled."
